suburb,lat,lon
 Birchip West,-37.8200,145.1000
 Birdwoodton,-37.8200,145.1000
 Birregurra,-37.8200,145.1000
 Bittern,-37.8200,145.1200
 Black Hill,-37.8200,145.1200
 Black Range,-37.8200,145.1200
 Black Rock,-37.8200,145.1200
 Black Rock North,-37.8200,145.1200
 Blackburn,-37.8000,145.1300
 Blackburn North,-37.8000,145.1300
 Blackburn South,-37.8000,145.1300
 Blackheath,-37.8200,145.1500
 Blackwarry,-37.8200,145.1500
 Blackwood,-37.8200,145.1500
 Blackwood Forest,-37.8200,145.1500
 Blairgowrie,-37.8400,145.1800
 Blakeville,-37.8400,145.1800
 Blampied,-37.8400,145.1800
 Blind Bight,-37.8200,145.1900
 Blowhard,-37.8200,145.1900
 Bo Peep,-37.8200,145.1900
 Bobinawarrah,-37.8400,145.1900
 Bochara,-37.8400,145.1900
 Bogong,-37.8100,145.2300
 Boho,-37.8100,145.2300
 Boho South,-37.8100,145.2300
 Boigbeat,-37.8100,145.2300
 Boinka,-37.8100,145.2300
 Boisdale,-37.8200,145.2500
 Bolangum,-37.8200,145.2500
 Bolinda,-37.8200,145.2500
 Bolton,-37.8000,145.2800
 Bolwarra,-37.8000,145.2800
 Bolwarrah,-37.8000,145.2800
 Bona Vista,-37.8000,145.2800
 Bonang,-37.8000,145.3100
 Bonbeach,-37.8000,145.3100
 Bonegilla,-37.7700,145.3300
 Boneo,-37.8000,145.5400
 Bonn,-37.8000,145.5400
 Bonnie Doon,-37.8000,145.5400
 Bonshaw,-37.8000,145.5400
 Bookaar,-37.8000,145.5400
 Boola,-37.8000,145.5400
 Boolarong,-37.8000,145.5400
 Boolarra,-37.8000,145.5400
 Boolarra South,-37.8000,145.5400
 Boole Poole,-37.8000,145.5400
 Boolite,-37.7600,145.3500
 Boomahnoomoonah,-36.9900,144.0600
 Boonah,-36.9900,144.0600
 Booran Road Po,-36.9900,144.0600
 Boorcan,-37.8400,145.0000
 Boorhaman,-37.8400,145.0000
 Boorhaman East,-37.8600,145.0200
 Boorhaman North,-37.8600,145.0200
 Boorolite,-37.8400,145.0300
 Boorool,-37.8400,145.0300
 Boort,-37.8400,145.0300
 Boosey,-37.8800,145.0400
 Boralma,-37.8800,145.0400
 Bornes Hill,-37.8800,145.0400
 Boronia,-37.8800,145.0400
 Borung,-37.8800,145.0400
 Bostocks Creek,-37.8800,145.0400
 Botanic Ridge,-37.8500,145.0700
 Boundary Bend,-37.8600,145.0800
 Bowenvale,-37.8600,145.0800
 Boweya,-37.8900,145.0800
 Boweya North,-37.8900,145.0800
 Bowmans Forest,-37.8900,145.0800
 Bowser,-37.8900,145.0800
 Box Hill,-37.8800,145.1300
 Box Hill Central,-37.8800,145.1300
 Box Hill North,-37.8800,145.1300
 Box Hill South,-37.8800,145.1700
 Boxwood,-37.8800,145.1700
 Bradford,-37.8800,145.1700
 Bradvale,-37.8600,145.1400
 Braeside,-37.8600,145.1400
 Branditt,-37.8700,145.2400
 Brandon Park,-37.8700,145.2400
 Brandy Creek,-37.8700,145.2400
 Branxholme,-37.8700,145.2400
 Bravington,-37.8400,145.2700
 Braybrook,-37.8400,145.2700
 Braybrook North,-37.8500,145.3100
 Breakaway Creek,-37.8600,145.2800
 Breakwater,-37.8800,145.3000
 Breamlea,-37.8800,145.3000
 Brenanah,-37.8800,145.3000
 Brentford Square,-37.8800,145.3000
 Brewster,-37.8800,145.3000
 Briagolong,-37.9000,145.3300
 Briar Hill,-37.9200,145.4000
 Bridge Creek,-37.9200,145.4000
 Bridgewater,-37.9100,145.3600
 Bridgewater North,-37.9100,145.3600
 Bridgewater On Loddon,-37.9100,145.3600
 Bright,-37.9100,145.3600
 Brighton,-38.0300,145.3100
 Brighton East,-38.0300,145.3100
 Brighton North,-37.8800,145.0300
 Brighton Road,-37.8800,145.0300
 Brim,-37.8800,145.0300
 Brimboal,-37.8900,145.0600
 Brimin,-37.8900,145.0600
 Brimpaen,-37.8900,145.0600
 Bringalbert,-37.8900,145.0600
 Brit Brit,-38.0200,145.2400
 Broadford,-37.9300,145.0600
 Broadlands,-37.9300,145.0600
 Broadmeadows,-37.9000,145.0800
 Broadwater,-37.9000,145.0800
 Brodribb River,-37.9000,145.0800
 Broken Creek,-37.9000,145.0800
 Bromley,-37.9300,145.1000
 Brookfield,-37.9300,145.1200
 Brooklyn,-37.9300,145.1200
 Brookville,-37.9400,145.1000
 Broomfield,-37.9400,145.1000
 Broughton,-37.8700,145.1000
 Brown Hill,-37.8700,145.1000
 Browns Plains,-37.9500,145.1600
 Bruarong,-37.9500,145.1600
 Brucknell,-37.9700,145.1200
 Brumby,-37.9700,145.1200
 Brunswick,-37.9900,145.1500
 Brunswick East,-37.9700,145.1800
 Brunswick Lower,-37.9700,145.1800
 Brunswick North,-37.9700,145.1800
 Brunswick South,-38.0300,145.1800
 Brunswick West,-38.0300,145.1800
 Bruthen,-38.0300,145.1800
 Buangor,-38.0300,145.1800
 Buchan,-38.0300,145.1800
 Buchan South,-38.0300,145.1800
 Buckland,-38.0300,145.1800
 Buckley,0.0000,0.0000
 Buckley Swamp,-38.0000,145.2400
 Buckrabanyule,-38.0000,145.2400
 Budgee Budgee,-37.9300,145.2400
 Budgeree,-37.8600,145.2600
 Budgerum East,-37.8900,145.2500
 Buffalo,-37.8500,144.9900
 Buffalo River,-37.8500,144.9900
 Bulart,-37.8500,144.9900
 Buldah,-37.8700,144.9800
 Bulga,-37.8700,144.9800
 Bulgana,-37.8700,144.9800
 Bulla,-37.8700,145.0000
 Bullaharre,-37.8700,145.0000
 Bullarook,-37.8800,145.0000
 Bullarto,-37.8800,145.0000
 Bullarto South,-37.8800,145.0000
 Bulleen,-37.8800,145.0000
 Bulleen South,-37.8800,145.0000
 Bullengarook,-37.9100,144.9900
 Bullioh,-37.9100,144.9900
 Bullumwaal,-37.9100,144.9900
 Buln Buln,-37.9100,144.9900
 Buln Buln East,-37.9000,145.0000
 Bumberrah,-37.9000,145.0000
 Bunbartha,-37.9300,145.0300
 Bundalaguah,-37.9300,145.0300
 Bundalong,-37.9300,145.0300
 Bundalong South,-37.9300,145.0400
 Bundara,-37.9300,145.0400
 Bunding,-37.9300,145.0400
 Bundoora,-37.9500,145.0300
 Bung Bong,-37.9500,145.0100
 Bungador,-37.9600,145.0600
 Bungal,-37.9600,145.0600
 Bungalally,-37.9600,145.0600
 Bungaree,-37.9600,145.0600
 Bungeet,-37.9900,145.0300
 Bungeet West,-37.9900,145.0300
 Bungil,-37.9900,145.0300
 Bunguluke,-37.9900,145.0300
 Buninyong,-37.9800,145.0600
 Bunkers Hill,-37.9800,145.0600
 Bunyip,-37.9800,145.0600
 Bunyip North,-38.0300,145.1000
 Buragwonduc,-38.0300,145.1000
 Burkes Bridge,-38.0300,145.1000
 Burkes Flat,-38.0300,145.1000
 Burnbank,-38.0300,145.1000
 Burnewang,-38.0300,145.1000
 Burnley,-38.0300,145.1000
 Burnley North,-38.0600,145.1200
 Burnside,-38.0600,145.1200
 Burnside Heights,-38.0600,145.1200
 Burramboot,-38.0600,145.1200
 Burramine,-38.0800,145.1200
 Burramine South,-38.0800,145.1200
 Burrowye,-38.1100,145.1600
 Burrumbeet,-38.1100,145.1600
 Burwood,-38.1500,145.1200
 Burwood East,-38.1500,145.1200
 Burwood Heights,-38.1500,145.1200
 Bushfield,-38.1500,145.1200
 Bushy Park,-38.1500,145.1200
 Butchers Ridge,-38.1500,145.1200
 Buxton,-38.1700,145.1900
 Byaduk,-38.1700,145.1900
 Byaduk North,-38.0900,145.1900
 Byawatha,-37.9700,145.2100
 Bylands,-37.9200,145.0400
 Byrneside,-37.9200,145.0400
 Cabanandra,-37.9200,145.0400
 Cabarita,-37.9200,145.0400
 Cabbage Tree,-37.9300,145.0300
 Cabbage Tree Creek,-37.9300,145.0300
 Cadello,-37.8400,144.9600
 Cairnlea,-37.8400,144.9600
 Calder Park,-37.8300,144.9600
 Caldermeade,-37.8300,144.9600
 California Gully,-37.9700,144.5300
 Calivil,-38.0200,144.4100
 Callawadda,-38.0200,144.4100
 Callignee,-38.0200,144.4100
 Callignee North,-38.0700,144.3600
 Callignee South,-38.0700,144.3600
 Calrossie,-38.0700,144.3600
 Calulu,-38.1100,144.3300
 Cambarville,-38.1100,144.3300
 Camberwell,-38.1100,144.3300
 Camberwell East,-38.1100,144.3300
 Camberwell North,-38.1100,144.3300
 Camberwell South,-38.1100,144.3300
 Camberwell West,-38.1800,144.3400
 Cambrian Hill,-38.1800,144.3400
 Campbellfield,-38.1800,144.3400
 Campbells Bridge,-38.1800,144.3400
 Campbells Creek,-38.1800,144.3400
 Campbells Forest,-38.1800,144.3400
 Campbelltown,-38.1800,144.3400
 Camperdown,-38.1800,144.3400
 Canadian,-38.1800,144.3400
 Canary Island,-38.2000,144.3000
 Caniambo,-38.1400,144.3500
 Cann River,-38.1400,144.3500
 Cannie,-38.1400,144.3500
 Cannons Creek,-38.1800,144.3800
 Cannum,-38.1800,144.3800
 Canterbury,-38.1800,144.3800
 Cape Bridgewater,-38.1800,144.3800
 Cape Clear,-38.1800,144.3800
 Cape Conran,-38.1800,144.3800
 Cape Otway,-38.1800,145.1100
 Cape Paterson,-38.1800,145.1100
 Cape Schanck,-38.1800,145.1100
 Cape Woolamai,-38.1800,145.1100
 Capels Crossing,-37.9000,144.2500
 Carag Carag,-37.9000,144.2500
